
> dev
> react-router dev

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
7:43:58 [vite] (client) page reload /Users/Owner/Atlas/kintai/backend_fastapi/attendance_data.csv
7:43:58 [vite] (client) page reload /Users/Owner/Atlas/kintai/backend_fastapi/attendance_data.csv
7:43:58 [vite] (client) page reload backend_fastapi/attendance_data.csv
7:43:58 [vite] (ssr) page reload backend_fastapi/attendance_data.csv
7:46:14 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:46:14 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:46:14 [vite] (client) page reload attendance_data.csv
7:46:14 [vite] (ssr) page reload attendance_data.csv
7:53:26 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:53:26 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:53:26 [vite] (client) page reload attendance_data.csv
7:53:26 [vite] (ssr) page reload attendance_data.csv
7:53:45 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:53:45 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:53:45 [vite] (client) page reload attendance_data.csv
7:53:45 [vite] (ssr) page reload attendance_data.csv
7:56:54 [vite] (client) page reload /Users/Owner/Atlas/kintai/backend_fastapi/attendance_data.csv
7:56:54 [vite] (client) page reload /Users/Owner/Atlas/kintai/backend_fastapi/attendance_data.csv
7:56:54 [vite] (client) page reload backend_fastapi/attendance_data.csv
7:56:54 [vite] (ssr) page reload backend_fastapi/attendance_data.csv
7:59:18 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:59:18 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
7:59:18 [vite] (client) page reload attendance_data.csv
7:59:18 [vite] (ssr) page reload attendance_data.csv
8:04:18 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
8:04:18 [vite] (client) page reload /Users/Owner/Atlas/kintai/attendance_data.csv
8:04:18 [vite] (client) page reload attendance_data.csv
8:04:18 [vite] (ssr) page reload attendance_data.csv
