日付,時間,ユーザー,ステータス,メッセージ,合計稼働時間,月次稼働時間,,,,,,,,,
,,,,,,,,,,,,,,,
2024/06/14,17:00,Yohei Watanabe,開始,開始,,24.78,,,,,,,,,
2024/06/14,18:30,Yohei Watanabe,終了,終了,1:30:00,,,,,,,,,,
2024/06/15,21:20,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/16,3:10,Yohei Watanabe,終了,終了,5:50:00,,,,,,,,,,
2024/06/17,15:50,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/17,17:58,Yohei Watanabe,終了,終了,2:08:00,,,,,,,,,,
2024/06/18,13:20,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/18,13:53,Yohei Watanabe,終了,終了,0:33:00,,,,,,,,,,
2024/06/18,16:45,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/18,18:21,Yohei Watanabe,終了,終了,1:36:00,,,,,,,,,,
2024/06/21,15:58,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/21,19:57,Yohei Watanabe,終了,終了,3:59:00,,,,,,,,,,
2024/06/22,17:34,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/21,21:30,Yohei Watanabe,終了,終了,3:56:00,,,,,,,,,,
2024/06/25,15:04,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/25,15:45,Yohei Watanabe,終了,終了,0:41:00,,,,,,,,,,
2024/06/25,17:05,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/25,18:00,Yohei Watanabe,終了,終了,0:55:00,,,,,,,,,,
2024/06/26,15:01,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/26,15:32,Yohei Watanabe,終了,終了,0:31:00,,,,,,,,,,
2024/06/27,0:07,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/27,2:03,Yohei Watanabe,終了,終了,1:56:00,,,,,,,,,,
2024/06/27,15:51,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/27,16:30,Yohei Watanabe,終了,終了,0:39:00,,,,,,,,,,
2024/06/29,15:59,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/06/29,16:32,Yohei Watanabe,終了,終了,0:33:00,,,,,,,,,,
2024/07/01,21:02,Yohei Watanabe,開始,開始,,23.63,,,,,,,,,
2024/07/01,23:02,Yohei Watanabe,終了,終了（修正しておきます）,2:00:00,,,,,,,,,,
2024/07/03,11:05,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/07/03,14:12,Yohei Watanabe,終了,終了,3:07:00,,,,,,,,,,
2024/07/03,16:03,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/07/03,18:17,Yohei Watanabe,終了,終了,2:14:00,,,,,,,,,,
2024/07/04,14:33,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/07/04,16:12,Yohei Watanabe,終了,終了,1:39:00,,,,,,,,,,
2024/07/04,19:01,Yohei Watanabe,開始,開始,,,,,,,,,,,
2024/07/04,20:30,Yohei Watanabe,終了,終了（修正します）,1:29:00,,,,,,,,,,
2024/07/06,15:38,Yohei Watanabe,開始,開始：UNIDGE、MiAのタスク分解していきます,,,,,,,,,,,
2024/07/06,18:33,Yohei Watanabe,終了,終了：プロジェクト管理ページを作成しました。次はより具体的なタスクの指示と、UIデザイン作成に取りかかります。,2:55:00,,,,,,,,,,
2024/07/08,10:32,Yohei Watanabe,開始,開始：各PJのタスクを具体化、UIデザイン作成,,,,,,,,,,,
2024/07/08,12:16,Yohei Watanabe,終了,終了,1:44:00,,,,,,,,,,
2024/07/08,13:00,Yohei Watanabe,開始,開始（13:00に修正します）,,,,,,,,,,,
